symbol,date,open,high,low,close,volume,prev_close,gap,run,dollar_vol,advol20,rvol
AAL,2024-12-05,16.01,17.8,15.96,17.38,110116882.0,14.88,0.07594086021505375,0.196236559139785,1913831409.1599998,22443503.45,4.9064034162634265
ABNB,2025-02-14,158.185,163.93,156.93,161.42,21649318.0,141.04,0.12156125921724348,0.16229438457175283,3494632911.56,4681769.3,4.624174454730181
ABNB,2026-08-07,164.7,178.48,163.45,178.07,15914961.0,151.64,0.08612503297283047,0.1769981535214984,2833977105.27,3645715.65,4.365387355429105
ACI,2025-10-14,17.696201,18.703302,16.976844,18.473108,23622361.0,16.257486,0.08849553983930836,0.15044244848188715,436378425.967988,6963359.25,3.3923800499019205
AEO,2025-08-04,11.105086,13.032174,10.871499,12.925113,63214807.0,10.452991,0.06238357997246902,0.24674114805991887,817058523.748191,12100114.95,5.2243145838874865
AEO,2025-09-04,17.275659,18.346264,16.75009,18.287867,105608391.0,13.256027,0.30323052299154196,0.38399416356046956,1931352208.6919968,12608187.85,8.376175248689684
AEO,2025-12-03,23.41067,23.955235,22.640292,23.523528,33426616.0,20.442015,0.1452232081817766,0.1718627053154984,786311937.421248,6850949.9,4.879121360966309
AES,2025-02-28,10.20258,11.079725,9.925587,10.701168,71508424.0,9.583962,0.0645472091813386,0.15606937924002628,765223658.6392319,14966430.65,4.777921046926442
AES,2025-07-09,11.987749,12.532861,11.748088,12.462372,70177108.0,10.404107,0.15221315966858096,0.20460708449076903,874573225.780176,16775757.55,4.18324524486228
AES,2025-10-01,14.212687,14.774717,14.04122,14.641354,58988466.0,12.536124,0.13373854630027604,0.17857138298887287,863671012.622964,9425868.35,6.2581466035434286
AFRM,2024-11-11,47.99,57.76,47.98,57.585,31223120.0,46.48,0.032487091222031195,0.2426850258175559,1797983365.2,9855371.4,3.168132253240096
AFRM,2025-02-07,69.9,76.88,68.3,75.22,28754862.0,61.75,0.13198380566801626,0.2450202429149797,2162940719.64,5694666.1,5.049437753690247
AFRM,2025-08-29,92.0,100.0,86.76,88.46,43192918.0,79.99,0.1501437679709965,0.25015626953369186,3820845526.2799997,6926199.55,6.2361642468126695
AFRM,2026-08-28,86.0,90.44,77.59,77.76,29084738.0,77.49,0.10982062201574405,0.16711833785004515,2261629226.88,3069846.65,9.4743292796075
AI,2024-11-19,27.46,33.5,27.3,32.96,27941881.0,26.54,0.03466465712132627,0.2622456669178599,920964397.76,2886867.5,9.67896205835564
AI,2025-05-29,26.59,30.24,26.21,27.8,54978090.0,23.02,0.15508253692441354,0.31364031277150306,1528390902.0,4274478.6,12.861940635285904
ALAB,2024-10-09,61.16,63.15,59.45,61.22,12526268.0,52.96,0.154833836858006,0.1924093655589123,766858126.96,3143231.2,3.9851564212012147
ALAB,2024-11-05,86.35,97.3494,84.11,95.91,24756931.0,69.65,0.23977027997128486,0.397694185211773,2374437252.21,4098152.5,6.040997986287723
ALB,2025-04-09,49.669074,60.863485,49.242666,59.275486,9383367.0,49.757296,-0.001773046509601195,0.22320724582782803,556203639.241362,2959771.45,3.170301206871902
ALB,2026-04-16,190.513674,215.160757,188.87785,215.070986,5639568.0,184.907984,0.03031610576642274,0.16360987960368445,1212907450.374048,1854413.9,3.0411592579197126
ALM,2025-10-14,9.495,10.27,8.5101,9.96,8955938.0,8.64,0.09895833333333326,0.18865740740740722,89201142.48,2085218.05,4.294964740018436
ALM,2026-01-26,11.85,12.98,11.54,11.58,11536177.0,11.12,0.06564748201438864,0.16726618705035978,133588929.66,3563343.2,3.237458856054056
AMD,2025-10-06,226.445,226.709,203.01,203.71,248859576.0,164.67,0.37514422784963863,0.3767474342624644,50695184226.96,43692811.2,5.695664095882208
