symbol,date,gap,atr_pct,entry,exit,reason,exit_min,gross,ret,period
AFRM,2024-10-09,0.04240583232077766,0.05394323902100328,41.83,43.25,eod,945,-0.032832369942196626,-0.034232369942196625,IS
IREN,2024-10-14,0.04780361757105922,0.08213178294573642,7.9,8.295,stop,630,-0.04761904761904756,-0.04901904761904756,IS
LRCX,2024-10-17,0.03129214764697075,0.044063249867715246,72.7876070131255,72.117117,eod,945,0.00929723817336603,0.007897238173366029,IS
BILI,2024-10-18,0.08787255909558067,0.1199185141682572,20.64,20.15,eod,945,0.02431761786600517,0.02291761786600517,IS
LRCX,2024-10-24,0.045566842002397356,0.04015028768944821,74.25676943816117,75.499148,eod,945,-0.01645553088677021,-0.017855530886770207,IS
SOUN,2024-11-01,0.04373757455268379,0.08787276341948305,5.19,5.14,eod,945,0.009727626459144156,0.008327626459144156,IS
AAOI,2024-11-06,0.0598548972188635,0.07329288305406809,17.27,16.21,eod,945,0.06539173349784067,0.06399173349784067,IS
APLD,2024-11-06,0.08320251177394034,0.11369813859609784,6.845,7.18725,stop,660,-0.04761904761904756,-0.04901904761904756,IS
CORZ,2024-11-06,0.08678955453149007,0.05944151854290105,13.93,14.33,eod,945,-0.027913468248429885,-0.029313468248429883,IS
LUNR,2024-11-06,0.03875968992248047,0.0748454226651901,7.85,8.2425,stop,615,-0.04761904761904767,-0.04901904761904767,IS
HMY,2024-11-13,0.030368769629237402,0.05137821264829334,9.110722445182724,8.747456,eod,945,0.04152823920265769,0.04012823920265769,IS
AG,2024-11-18,0.048895956799667184,0.059937011438862355,6.568333978819969,6.578286,eod,945,-0.001512859304084846,-0.002912859304084846,IS
HL,2024-11-18,0.045454387606329805,0.057337649911565966,5.6404216672566365,5.620526,eod,945,0.003539823008849474,0.002139823008849474,IS
HMY,2024-11-18,0.07283229502636601,0.057265899476437114,8.883075526315789,9.018695,eod,945,-0.015037593984962405,-0.016437593984962404,IS
OKLO,2024-11-18,0.08333333333333326,0.19482222222222226,18.41,19.3305,stop,600,-0.04761904761904767,-0.04901904761904767,IS
IREN,2024-11-21,0.05148514851485153,0.11109193776520515,9.915,9.72,eod,945,0.020061728395061484,0.018661728395061486,IS
HMY,2024-11-22,0.04075233858580285,0.05187192421108168,9.406178839044653,9.328682,eod,945,0.008307372793354029,0.0069073727933540285,IS
